127.0.0.1 - - [25/Jan/2023:19:00:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jan/2023:19:00:48 +0530] "GET /TechBlog/ HTTP/1.1" 200 6452
0:0:0:0:0:0:0:1 - - [25/Jan/2023:19:00:48 +0530] "GET /TechBlog/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2023:19:00:48 +0530] "GET /TechBlog/js/js.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2023:19:00:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Jan/2023:19:00:52 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4607
0:0:0:0:0:0:0:1 - - [25/Jan/2023:19:00:58 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2023:19:00:58 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [25/Jan/2023:19:00:58 +0530] "GET /TechBlog/pics/default.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jan/2023:19:15:58 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [25/Jan/2023:19:15:58 +0530] "GET /TechBlog/pics/default.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:03:36 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6452
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:03:38 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4607
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:03:39 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 7531
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:03:42 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4607
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:13:15 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4607
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:13:20 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:13:21 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 500 3019
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:13:51 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:13:51 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 500 3019
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:17:53 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4607
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:17:58 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:17:58 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 5604
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:17:58 +0530] "GET /TechBlog/pics/default.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:20:41 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 5603
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:20:41 +0530] "GET /TechBlog/pics/default.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jan/2023:23:20:41 +0530] "GET /TechBlog/img/default.png HTTP/1.1" 200 26027
