127.0.0.1 - - [08/Jan/2023:17:11:28 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:11:28 +0530] "GET /TechBlog/ HTTP/1.1" 200 6452
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:11:28 +0530] "GET /TechBlog/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:11:28 +0530] "GET /TechBlog/js/js.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:11:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:15:58 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:16:18 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:16:20 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:16:23 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:16:24 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6452
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:16:26 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:16:32 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6452
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:18:15 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5192
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:18:43 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5136
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:02 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5191
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:12 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:22 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:31 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:36 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:37 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:39 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:49 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:51 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:54 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:54 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:55 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:19:56 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:20:07 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:20:09 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:20:10 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:20:12 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6452
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:20:13 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:20:14 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:20:22 +0530] "GET /TechBlog/registration_page.jsp? HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:20:24 +0530] "GET /TechBlog/registration_page.jsp? HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:21:42 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4507
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:21:55 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4490
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:21:57 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [08/Jan/2023:17:22:07 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6452
